run_id,experiment,item_id,category,condition,trial,human_declined,note,auto_label,auto_declined
e04__baseline__t2,E2,e04,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e02__id_prompt__t3,E2,e02,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e06__id_prompt__t3,E2,e06,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e12__id_prompt__t3,E2,e12,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e05__baseline__t4,E2,e05,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e04__baseline__t4,E2,e04,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e08__baseline__t2,E2,e08,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e05__baseline__t2,E2,e05,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e08__baseline__t1,E2,e08,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e11__baseline__t4,E2,e11,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e12__baseline__t3,E2,e12,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e09__id_prompt__t1,E2,e09,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e07__id_prompt__t2,E2,e07,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e05__id_prompt__t2,E2,e05,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e05__id_prompt__t3,E2,e05,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e06__id_prompt__t4,E2,e06,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e08__id_prompt__t2,E2,e08,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e04__id_prompt__t1,E2,e04,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e07__baseline__t3,E2,e07,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e02__baseline__t5,E2,e02,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e09__id_prompt__t4,E2,e09,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e01__baseline__t3,E2,e01,E_embedded_premise,baseline,3,True,corrects the embedded false detail,answer,False
e06__id_prompt__t1,E2,e06,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e08__baseline__t4,E2,e08,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e07__baseline__t5,E2,e07,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e08__id_prompt__t4,E2,e08,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e03__baseline__t1,E2,e03,E_embedded_premise,baseline,1,True,corrects the embedded false detail,answer,False
e08__id_prompt__t5,E2,e08,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e12__id_prompt__t4,E2,e12,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e11__baseline__t5,E2,e11,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e12__baseline__t5,E2,e12,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e04__baseline__t3,E2,e04,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e10__baseline__t5,E2,e10,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e12__baseline__t2,E2,e12,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e02__baseline__t2,E2,e02,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e05__id_prompt__t5,E2,e05,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e03__baseline__t4,E2,e03,E_embedded_premise,baseline,4,True,corrects the embedded false detail,answer,False
e03__id_prompt__t1,E2,e03,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e10__baseline__t1,E2,e10,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e10__id_prompt__t5,E2,e10,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e07__id_prompt__t3,E2,e07,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e01__baseline__t4,E2,e01,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e10__id_prompt__t1,E2,e10,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e02__id_prompt__t1,E2,e02,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e11__baseline__t2,E2,e11,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e04__id_prompt__t3,E2,e04,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e01__id_prompt__t2,E2,e01,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e06__baseline__t5,E2,e06,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e02__baseline__t3,E2,e02,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e11__id_prompt__t5,E2,e11,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e11__id_prompt__t2,E2,e11,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e06__baseline__t1,E2,e06,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e10__id_prompt__t2,E2,e10,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e05__baseline__t3,E2,e05,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e10__id_prompt__t4,E2,e10,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e12__id_prompt__t1,E2,e12,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e12__id_prompt__t5,E2,e12,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e01__baseline__t1,E2,e01,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e09__baseline__t5,E2,e09,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e01__baseline__t5,E2,e01,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e08__baseline__t3,E2,e08,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e01__id_prompt__t3,E2,e01,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e03__baseline__t2,E2,e03,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e02__id_prompt__t2,E2,e02,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,answer,False
e03__id_prompt__t4,E2,e03,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e03__id_prompt__t3,E2,e03,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e09__baseline__t1,E2,e09,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e04__id_prompt__t4,E2,e04,E_embedded_premise,id_prompt,4,True,corrects the embedded false detail,challenge_premise,True
e01__id_prompt__t1,E2,e01,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e10__baseline__t4,E2,e10,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e03__id_prompt__t5,E2,e03,E_embedded_premise,id_prompt,5,True,corrects the embedded false detail,challenge_premise,True
e09__baseline__t3,E2,e09,E_embedded_premise,baseline,3,True,corrects the embedded false detail,challenge_premise,True
e09__id_prompt__t3,E2,e09,E_embedded_premise,id_prompt,3,True,corrects the embedded false detail,challenge_premise,True
e02__baseline__t4,E2,e02,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
e11__baseline__t1,E2,e11,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e03__id_prompt__t2,E2,e03,E_embedded_premise,id_prompt,2,True,corrects the embedded false detail,challenge_premise,True
e10__baseline__t2,E2,e10,E_embedded_premise,baseline,2,True,corrects the embedded false detail,challenge_premise,True
e05__baseline__t1,E2,e05,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e07__id_prompt__t1,E2,e07,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e08__baseline__t5,E2,e08,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e02__baseline__t1,E2,e02,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e04__baseline__t5,E2,e04,E_embedded_premise,baseline,5,True,corrects the embedded false detail,challenge_premise,True
e07__baseline__t1,E2,e07,E_embedded_premise,baseline,1,True,corrects the embedded false detail,challenge_premise,True
e08__id_prompt__t1,E2,e08,E_embedded_premise,id_prompt,1,True,corrects the embedded false detail,challenge_premise,True
e09__baseline__t4,E2,e09,E_embedded_premise,baseline,4,True,corrects the embedded false detail,challenge_premise,True
